vitesse,Localisation :,Direction :,Horodatage :,Identifiant du Véhicule :,"Données des Capteurs"" :"
120 km/h,"48.8566° N, 2.3522° E",180°,2024-04-25 09:15:00,ABC123456,"Température: 25°C, Pression des pneus: 32 psi"
80 km/h,"51.5074° N, -0.1278° W",225°,2024-04-25 09:16:00,DEF987654,"Température: 23°C, Pression des pneus: 30 psi"
65 km/h,"40.7128° N, -74.0060° W",270°,2024-04-25 09:17:00,GHI345678,"Température: 22°C, Pression des pneus: 31 psi"
55 km/h,"34.0522° N, -118.2437° W",315°,2024-04-25 09:18:00,JKL543210,"Température: 24°C, Pression des pneus: 33 psi"
70 km/h,"52.5200° N, 13.4050° E",90°,2024-04-25 09:19:00,MNO987654,"Température: 26°C, Pression des pneus: 34 psi"
90 km/h,"37.7749° N, -122.4194° W",135°,2024-04-25 09:20:00,PQR123456,"Température: 28°C, Pression des pneus: 35 psi"
75 km/h,"35.6895° N, 139.6917° E",45°,2024-04-25 09:21:00,STU987654,"Température: 27°C, Pression des pneus: 33 psi"
100 km/h,"55.7558° N, 37.6176° E",0°,2024-04-25 09:22:00,VWX543210,"Température: 24°C, Pression des pneus: 31 psi"
85 km/h,"45.4642° N, 9.1900° E",270°,2024-04-25 09:23:00,YZA123456,"Température: 23°C, Pression des pneus: 29 psi"
60 km/h,"25.7617° N, -80.1918° W",180°,2024-04-25 09:24:00,BCD987654,"Température: 25°C, Pression des pneus: 32 psi"
110 km/h,"43.6532° N, -79.3832° W",225°,2024-04-25 09:25:00,EFG123456,"Température: 26°C, Pression des pneus: 33 psi"
95 km/h,"48.8566° N, 2.3522° E",135°,2024-04-25 09:26:00,HIJ987654,"Température: 27°C, Pression des pneus: 35 psi"
50 km/h,"51.5074° N, -0.1278° W",315°,2024-04-25 09:27:00,KLM123456,"Température: 24°C, Pression des pneus: 31 psi"
105 km/h,"40.7128° N, -74.0060° W",90°,2024-04-25 09:28:00,NOP987654,"Température: 23°C, Pression des pneus: 30 psi"
72 km/h,"34.0522° N, -118.2437° W",45°,2024-04-25 09:29:00,QRS123456,"Température: 22°C, Pression des pneus: 29 psi"
