Catégorie du véhicule :,Modèle :,Fabricant :,Numéro d'immatriculation :
Voiture,Toyota Camry,Toyota,ABC123
Camion,Ford F-150,Ford,DEF456
Moto,Honda CBR600RR,Honda,GHI789
Voiture,BMW 3 Series,BMW,JKL012
Camion,Chevrolet Silverado,Chevrolet,MNO345
Voiture,Volkswagen Golf,Volkswagen,PQR678
Moto,Yamaha YZF-R6,Yamaha,STU901
Camion,Mercedes-Benz Actros,Mercedes-Benz,VWX234
Voiture,Audi A4,Audi,YZA567
Moto,Kawasaki Ninja 650,Kawasaki,BCD890
Camion,Volvo VNL,Volvo,EFG123
Voiture,Hyundai Sonata,Hyundai,HIJ456
Moto,Ducati Panigale V4,Ducati,KLM789
Voiture,Nissan Altima,Nissan,NOP012
Camion,Freightliner Cascadia,Freightliner,QRS345
